Player,Average speed
Rob,1657
Barist,1656
Iryzer,1649
Revezy,1643
Kash_RL,1641
Cheerio,1640
Swift,1640
Kerian,1636
kash.,1634
Alex161,1632
TadpoleRL,1631
Ronaky,1624
Tadpole,1620
creamyy,1620
AztraL,1619
Madsssssss.,1618
ThO.,1617
saizen,1617
FlamE,1615
Unknow,1610
AcroniK.,1608
Ekon,1607
Alpha54,1606
blurry,1604
Blurry,1602
Gnagflow06,1597
B00MRL,1595
al0t,1595
eekso_,1595
B00M,1594
Skyy,1594
Polar,1591
ViolentPanda,1589
eekso,1589
Alex837,1588
kash,1587
Ferra,1586
Scrub Killa,1586
Speed,1586
CalixRL,1585
Hooups,1583
D O R I T O # @,1583
Oaly,1582
42Ferra,1581
polar,1581
Archie,1579
bluey.,1579
Bork,1578
virtuoso,1578
EkonRL,1577
Mirror.,1577
kirn,1576
fruityl0l,1574
Mikeboy,1573
kuxir97,1573
AcroniK. 0',1572
Compact.,1571
Meloshisu,1571
Kassiooo,1570
Artyrus,1569
Chippy,1568
Madssssss.,1568
tehda,1566
ExoTiiK66,1566
DmentZa,1565
hibbs,1565
nozai,1565
Toxtraptonized,1562
AtomiK,1562
BJayB,1562
ivn ^.^,1561
Halden,1559
rise.,1559
Bram.,1557
LuiisP,1557
remkoe,1557
Deevo,1556
Trex,1556
matsgrey,1556
Extra,1555
fruity,1554
Scream,1553
arju,1553
.AtomiK,1552
Calix,1552
Kassio,1550
MaRc_By_8.,1550
swoopin,1550
ghostfire,1549
Ne0n,1549
ExoTiiK,1548
Kaydop,1547
VKSailen,1547
Envoy.,1546
FairyPeak,1546
gReazymeister,1546
NOLY,1546
emre,1545
crr,1542
Tox,1541
FreaKii.,1540
totothdt,1539
Tahz,1538
ApparentlyJack,1537
Mittaen,1536
Breezi,1535
Radosin,1534
Catalysm,1533
Dead-Monster,1533
Fairy Peak!,1533
EleXiT.,1532
Magu,1531
RelatingWave,1530
Relatingwave,1530
Nachitow,1529
PeaKy!,1529
itachi,1529
rehzzy,1529
M0nkey M00n,1528
Yukiss,1528
Inferno 0,1527
Makuhebi,1527
dave,1526
Godsmilla,1525
Rexo,1524
Justuszzz,1523
Seb/-\da/\/\,1523
Chausette45,1522
Mout,1522
GoochRL,1521
radosin75,1521
oaly,1521
Eckhard,1518
Zamue,1518
cal,1517
parka.,1517
womped,1515
Yukeo,1514
BoyScHool Q,1512
SamCynical,1511
Zaphare,1511
billy,1511
LiFox,1509
cloud,1509
Gekk,1507
Oscillon,1507
Rix_Ronday,1507
ZamuAA,1506
Forece,1506
Tjester,1505
big.,1504
ClayX,1503
Eversax,1503
Sebadam,1502
Joreuz,1501
Yukiss08,1501
Maadzz,1500
Mognus,1500
Gooch,1497
MD,1497
Hyderr,1495
Metsanauris,1493
noly,1491
Cynical,1488
Wolf.,1488
Freecant,1485
Tigreee,1481
ejby,1480
Enlid,1477
Stake,1474
StakeMBP,1474
Rizex45,1473
ASN_RuBiiX,1472
pryyme,1472
Rizual,1469
Zeddo,1468
ASN_RuBiiX.,1462
kisai,1460
Kryptos,1455
.kisai,1454
Tylacto,1453
Joyo!,1451
Lenrid,1445
Slush!,1442
milo,1411
Cinereous,125
SUP3RSoN1K,0
Irelique,0
