Player,Average speed
Savvy,1723
.Skyzz,1700
Skyzz ^_^,1661
JJ ^O^,1658
testgravity,1657
Thundah,1650
WondaMike,1647
Turtle,1637
.tristn,1634
Stealth.,1631
percy.,1627
Chicago,1623
Firstkiller,1621
Luke,1612
gimmick,1605
Monster442,1603
caz,1603
Comp,1602
GarrettG.,1601
Dappur,1600
Kraziks,1600
ctrl.,1596
FTMHere,1595
Titoh,1595
tcorrell,1595
hec,1594
dap,1594
Andy,1591
GarrettG,1591
Shadow,1591
Tool,1588
dreaz,1588
Hec,1586
ElOmarMaton,1585
astro,1585
Lj,1584
falss,1584
tvaristo.,1584
Angel,1584
Tbates,1584
JJ .^O^.,1580
hockser,1580
Squishy,1579
JKnaps,1577
Dino,1576
Sheadrip,1576
oathler,1576
Karma,1575
mist,1575
fishhr,1574
Atomic,1573
Toastie,1573
Sypical,1572
jstn.,1572
Fefe,1570
LionBlaze,1569
retals #f3,1569
rapid,1568
andy,1568
.rawG,1567
majicbear,1567
gimmickk,1566
justin.,1565
caz hehe,1565
Kinseh,1564
creamz,1562
Adverse,1561
Desi,1561
Aeon,1557
AlphaKep,1556
Demon_NF,1556
jruss,1556
Freshness,1555
Splashy,1555
radoko.,1554
Gyro.,1553
retals,1552
Stokelyy,1549
oath,1549
JosherSquasher,1548
Rizzo,1547
Forky,1544
Mile.,1544
Allushin,1542
alraz,1542
ALLUSHIN,1542
Kronovi,1541
caz.,1541
kirii,1541
Shea,1541
Harps,1539
Outcast,1539
.shadow,1539
sosa,1538
Mile,1538
Memory,1537
indigo,1537
Sea-Bass,1537
zol,1535
turinturo,1535
pure,1534
xpurt,1534
WarBean,1532
crave.,1532
nessCoff.,1532
.ZPS,1531
JWismont,1531
Roll Dizz,1531
plip,1531
"Comm""!",1527
Wonder,1527
.Trey,1527
Aris,1526
"Turinturo,",1526
Arsenal,1525
BeastMode,1523
TopCheese,1522
junglies,1522
allushin,1521
Demo,1520
Pirates,1520
Shadow.,1517
Comm,1517
Tynottyler,1516
Jordan,1516
jacob,1516
Ahduhm,1515
mectos,1514
Jbot,1513
primethunder,1511
Bacon,1510
Jacob,1510
plipington,1510
Taroco.,1508
Satthew,1506
Ty,1506
Buddy,1505
Turbopolsa,1505
satthew,1505
Talliebird,1504
tcorrell.,1502
Noxes,1501
torment,1499
Dark,1498
Porklet,1498
Lubby,1497
.saucy,1496
Paarth,1496
Brisky,1495
ostyn,1495
TURBOPOLSA,1493
kinseh,1491
JPow,1490
Shock,1489
delta,1485
jordan,1485
XI,1483
hockE,1482
sharp,1481
Bambii,1481
Gib,1478
Skillz.,1475
money,1475
AYYJAYY,1472
Bambii :),1471
Garenn,1468
Dec,1466
Spyder,1465
Astroh,1460
night.,1460
Chronic,1458
ayLucky,1458
AxB,1454
Heps,1445
Hato,1441
MALA,1426
ayjacks,1421
beastaboniam,1415
Admin-Fridgy,0
