Player,Average speed
Laxin,1670
Kenny Salmon,1625
Riv,1618
Julz,1611
CJCJ,1604
Decka,1594
Kamii,1594
Lerky,1593
Fever,1592
Baked Potato,1592
Torsos,1591
Aza,1585
Spratt,1585
jul,1575
Tango,1571
applecrazh,1570
Joel,1568
Homie,1566
zayd.,1565
Shmoopernator,1561
Snowy,1560
Siki,1559
Moss,1554
fluqwit,1553
Le Duck :),1551
Vive,1548
sour,1548
Lunar,1547
Walcott,1532
Amphis,1531
Cobbo,1530
Kevin07,1529
SSteve,1522
cavemanben,1521
Negative,1520
Shoe,1519
Cruzza,1518
change,1513
vortexioz,1510
SPYDOGE,1508
Le Duck,1508
Drippay,1507
HAZA,1507
*' cavemanben,1507
zenulous,1499
Express,1498
Timii lft,1493
Requiem,1492
Samuel,1485
240hzisty,1483
String,1483
yeatzy,1480
CJM,1479
Zukoe,1479
Scarth,1477
finn,1474
eli,1464
Fiberr,1462
misty,1442
Cyrexal,1435
Magnet,1391
