Player,Average speed
Aztromick,1689
Trueno,1683
john,1669
chr1s,1652
"DisLikee""!",1648
"SrNaniiTou""!",1647
FirefoxD,1641
Royales,1640
DaviTrox,1637
Losttssj,1616
gonk,1614
renaN,1612
yanxnzz,1606
drufinho,1601
Shad,1596
snipjz,1595
yanxnz,1591
BRUNOVISQUII,1590
sharvys.0,1588
Noiisey.,1584
Reysbull,1576
Haberkamper,1571
Szaro,1570
pan.,1568
yanD,1568
ianpinheiro,1562
LeXa,1559
davinsano,1553
Flare,1545
Ninja23509,1545
fasi,1543
brunovisqui,1541
pan,1541
gian,1530
Lex,1529
droppz,1526
brad,1523
matix,1518
Sadness,1515
valtsssv,1511
Pedrinho  ,1510
grumpz.,1509
RevogaS,1507
PJ,1505
ajg,1505
caiotg1,1505
math,1505
Flasheeyy,1504
ZhearX.,1500
repi,1495
wells,1493
LeoDkn,1487
UmBroken,1485
tander,1484
caard,1468
Redi,1464
KnsMoonster,1454
Luk,1437
SubHallz,1389
twistt :/,1329
