Player,Region,Average speed
Alucard,India,1759
Savvy,North America,1723
Ahmad,Saudi Arabia,1703
.Skyzz,North America,1700
Aztromick,South America,1689
dan.,Singapore,1685
Trueno,South America,1683
Nog,Indonesia,1675
Laxin,Oceania,1670
john,South America,1669
OLPiX,Japan,1669
Skyzz ^_^,North America,1661
JJ ^O^,North America,1658
Rob,Europe,1657
testgravity,North America,1657
Twiz,Saudi Arabia,1657
Barist,Europe,1656
chr1s,South America,1652
Thundah,North America,1650
Iryzer,Europe,1649
"DisLikee""!",South America,1648
squirrel,Indonesia,1648
WondaMike,North America,1647
"SrNaniiTou""!",South America,1647
Revezy,Europe,1643
Kash_RL,Europe,1641
FirefoxD,South America,1641
Cheerio,Europe,1640
Swift,Europe,1640
Royales,South America,1640
Turtle,North America,1637
DaviTrox,South America,1637
Kerian,Europe,1636
kash.,Europe,1634
.tristn,North America,1634
Alex161,Europe,1632
TadpoleRL,Europe,1631
Stealth.,North America,1631
percy.,North America,1627
Kenny Salmon,Oceania,1625
Ronaky,Europe,1624
Chicago,North America,1623
Firstkiller,North America,1621
trk511,Saudi Arabia,1621
Tadpole,Europe,1620
creamyy,Europe,1620
AztraL,Europe,1619
Madsssssss.,Europe,1618
Riv,Oceania,1618
ThO.,Europe,1617
saizen,Europe,1617
Yahya,Saudi Arabia,1617
Losttssj,South America,1616
FlamE,Europe,1615
Gon,Indonesia,1615
gonk,South America,1614
Luke,North America,1612
renaN,South America,1612
LCT,Singapore,1612
Julz,Oceania,1611
Unknow,Europe,1610
Maxeew,Singapore,1610
AcroniK.,Europe,1608
Ekon,Europe,1607
Alpha54,Europe,1606
yanxnzz,South America,1606
gimmick,North America,1605
blurry,Europe,1604
CJCJ,Oceania,1604
Senzo,Saudi Arabia,1604
Monster442,North America,1603
caz,North America,1603
Blurry,Europe,1602
Comp,North America,1602
T7LM,Saudi Arabia,1602
GarrettG.,North America,1601
drufinho,South America,1601
Dappur,North America,1600
Kraziks,North America,1600
AiZn21,Singapore,1600
Gnagflow06,Europe,1597
ctrl.,North America,1596
Shad,South America,1596
B00MRL,Europe,1595
al0t,Europe,1595
eekso_,Europe,1595
FTMHere,North America,1595
Titoh,North America,1595
tcorrell,North America,1595
snipjz,South America,1595
Fortymula7,Singapore,1595
B00M,Europe,1594
Skyy,Europe,1594
hec,North America,1594
dap,North America,1594
Decka,Oceania,1594
Kamii,Oceania,1594
TiWakeZ,Saudi Arabia,1594
oKhaliD,Saudi Arabia,1594
Lerky,Oceania,1593
Fever,Oceania,1592
Baked Potato,Oceania,1592
Abscrazy,India,1592
Rushil_Y,India,1592
Polar,Europe,1591
Andy,North America,1591
GarrettG,North America,1591
Shadow,North America,1591
Torsos,Oceania,1591
yanxnz,South America,1591
The Optimistic Noob,Indonesia,1591
BRUNOVISQUII,South America,1590
Slm 77,Saudi Arabia,1590
ViolentPanda,Europe,1589
eekso,Europe,1589
Alex837,Europe,1588
