Team,Average speed
ALLMID,1647
RADIANT,1612
THE LOVE BELOW,1591
CLT,1586
JAMAL JABARY,1585
VOLT ESPORTS,1585
OXYGEN ESPORTS,1584
G2 ESPORTS,1583
NRG,1573
SIPPIN ICE CUBES,1567
ALPINE ESPORTS,1566
SCUBA SQUAD,1565
VALORSGG,1563
EUNITED,1562
SOL,1557
IZ IM DREAMIN,1557
GHOST GAMING,1554
ROGUE,1553
STROMBOLI,1550
SSG,1549
THE MATONES,1548
TEAM .EXE,1545
FFF,1544
TEAM ENVY,1543
PLOT TWIST,1542
CLT PHOENIX,1542
KNIGHTS,1540
VERSION1,1539
ZERO ISSUE,1539
KC PIONEERS,1537
MORNING LIGHT,1537
SONIQS,1534
EMPTY SPACE,1532
DRIP,1531
DOWN TWO EARTH,1529
MAMBA MODE,1528
CONTINUUM,1526
ZOOKEEPERS,1526
XSET,1525
FAZE CLAN,1523
HC ESPORTS,1522
OSTYN,1516
TEAM METEOR,1513
RBG ESPORTS,1512
NEFARIOUS,1511
FLASH POINT,1510
ADEPT,1506
8-BIT ESPORTS,1506
THE PEEPS,1505
72PC,1503
CRIMSON WINGS,1501
TEAM FRONTLINE,1498
PRIDESTARK,1490
CHARLOTTE,1490
LOCO,1488
THE 1ST GRADERS,1183
