Team,Region,Average speed
ATYPICAL,South America,1654
ALLMID,North America,1647
SANDROCK GAMING,Saudi Arabia,1634
STEALTH7 ESPORTS,Europe,1626
REBEL,South America,1625
RADIANT,North America,1612
NOBLE,South America,1608
SPITE,Singapore,1606
TEAM FENRIR,Oceania,1604
1NE ESPORTS,Indonesia,1603
TEAM DGENERATION,South America,1602
STAY FRESH,Europe,1598
TRIPLE TROUBLE,Europe,1596
THE LOVE BELOW,North America,1591
REDEMPTION,Saudi Arabia,1591
EMPTY,Saudi Arabia,1589
HANAGUMI,Japan,1588
CLT,North America,1586
SOBERANO ESPORTS,South America,1586
JAMAL JABARY,North America,1585
VOLT ESPORTS,North America,1585
RENEGADES,Oceania,1585
OXYGEN ESPORTS,North America,1584
NOCTURNS,South America,1584
FALCON ESPORTS,Saudi Arabia,1584
UNCE UNCE,Singapore,1584
G2 ESPORTS,North America,1583
KITTENS,Indonesia,1583
TEAM LIQUID,Europe,1581
TEAM SHAZOO,Singapore,1581
TOP BLOKES,Europe,1580
WHAT?,India,1580
LYCUS EMPIRE,South America,1577
ILLUSION,Europe,1576
THE THIRD EYE,South America,1576
ALPHA,Europe,1573
NRG,North America,1573
FALCONS ESPORTS,Saudi Arabia,1572
YOU CHOOSE PESCE,Europe,1571
OXYGEN ESPORTS,Europe,1570
TEAM NAME,Europe,1570
MINKZ GAMING,Europe,1570
CRINGE SOCIETY,Oceania,1570
3 MUSKETEERS,Europe,1568
ERUPTION,Saudi Arabia,1568
BARCA ESPORTS,Europe,1567
SIPPIN ICE CUBES,North America,1567
BROCOLLI,Indonesia,1567
STORMTROOPERS,Europe,1566
GUILD,Europe,1566
ALPINE ESPORTS,North America,1566
WRIGHT LIGHT,South America,1566
SCUBA SQUAD,North America,1565
TEAM PROCESS,Oceania,1565
REDUNDANT,India,1564
TEAM VITALITY,Europe,1563
REDEMPTION,Europe,1563
VALORSGG,North America,1563
EUNITED,North America,1562
AVIDITY ESPORTS,South America,1561
TEAM QUESO,Europe,1560
TRUE NEUTRAL,South America,1559
TEAM FEROX,Oceania,1558
SOL,North America,1557
IZ IM DREAMIN,North America,1557
TRAINHARD ESPORT,Europe,1556
GALAXY RACER,Europe,1556
GHOST GAMING,North America,1554
